Ticker,Time Frame,Zone Date
GRASIM,2h,2024-08-21 15:15:00
RAMCOCEM,15m,2024-08-22 11:00:00
GRASIM,2h,2024-08-21 15:15:00
RAMCOCEM,15m,2024-08-22 11:00:00
GRASIM,2h,2024-08-21 15:15:00
RAMCOCEM,15m,2024-08-22 11:00:00
BLUESTARCO,2h,2024-08-12 15:15:00
BLUESTARCO,2h,2024-08-12 15:15:00
MUTHOOTFIN,15m,2024-08-26 11:15:00
KSB,5m,2024-08-26 14:55:00
MUTHOOTFIN,15m,2024-08-26 11:15:00
KSB,5m,2024-08-26 14:55:00
MUTHOOTFIN,15m,2024-08-26 11:15:00
KSB,5m,2024-08-26 14:55:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
NIACL,5m,2024-08-28 09:35:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
NIACL,5m,2024-08-28 09:35:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
NIACL,5m,2024-08-28 09:35:00
LODHA,5m,2024-08-28 14:55:00
WHIRLPOOL,5m,2024-08-28 15:05:00
ALLCARGO,2h,2024-08-28 15:15:00
CROMPTON,5m,2024-08-29 15:05:00
ALLCARGO,2h,2024-08-28 15:15:00
CROMPTON,5m,2024-08-29 15:05:00
ALLCARGO,2h,2024-08-28 15:15:00
CROMPTON,5m,2024-08-29 15:05:00
TRITURBINE,2h,2024-08-30 15:15:00
JUBLINGREA,15m,2024-08-30 15:15:00
TRITURBINE,2h,2024-08-30 15:15:00
TRITURBINE,2h,2024-08-30 15:15:00
JUBLINGREA,15m,2024-08-30 15:15:00
TRITURBINE,2h,2024-08-30 15:15:00
TRITURBINE,2h,2024-08-30 15:15:00
JUBLINGREA,15m,2024-08-30 15:15:00
TRITURBINE,2h,2024-08-30 15:15:00
SUZLON,2h,2024-09-02 15:15:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
SUZLON,2h,2024-09-02 15:15:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
SUZLON,2h,2024-09-02 15:15:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
ICICIBANK,5m,2024-09-03 14:55:00
ANURAS,5m,2024-09-03 14:45:00
AMBER,5m,2024-09-04 14:40:00
GRANULES,5m,2024-09-04 12:30:00
AMBER,5m,2024-09-04 14:40:00
GRANULES,5m,2024-09-04 12:30:00
AMBER,5m,2024-09-04 14:40:00
GRANULES,5m,2024-09-04 12:30:00
DMART,15m,2024-09-05 14:45:00
IPCALAB,2h,2024-09-04 15:15:00
BANDHANBNK,2h,2024-09-04 15:15:00
IPCALAB,2h,2024-09-04 15:15:00
DMART,15m,2024-09-05 14:45:00
IPCALAB,2h,2024-09-04 15:15:00
BANDHANBNK,2h,2024-09-04 15:15:00
